temp,humidity,wind,rainfall,radiation,date,ET0
31.09,10,2.34,0,24.0,5/10/2026 0:00,10.144100425656923
28.69,11,1.46,0,24.5,5/10/2026 3:00,8.462138866807251
27.97,11,1.85,0,24.75,5/10/2026 6:00,8.984217027964627
34.54,7,0.93,0,23.75,5/10/2026 9:00,8.156687196629893
39.21,5,3.57,0,23.5,5/10/2026 12:00,14.11569368243406
40.64,4,5.13,0,23.5,5/10/2026 15:00,17.387969925973742
35.55,6,4.13,0,24.0,5/10/2026 18:00,14.192934213440315
32.06,8,3.66,0,25.0,5/10/2026 21:00,12.620876688038972
28.55,10,1.66,0,24.5,5/11/2026 0:00,8.78573430853675
25.79,27,4.16,0,23.75,5/11/2026 3:00,9.778124480457842
25.14,58,2.97,0,24.25,5/11/2026 6:00,6.938794659097383
33.09,32,2.03,0,25.0,5/11/2026 9:00,9.082606630516059
39.47,11,3.79,0,25.0,5/11/2026 12:00,14.32857102798139
40.68,6,5.81,0,25.0,5/11/2026 15:00,18.576910999998187
34.96,7,2.46,0,25.0,5/11/2026 18:00,11.43860947287903
31.63,9,1.11,0,25.0,5/11/2026 21:00,8.435292224251153
30.41,10,1.79,0,25.0,5/12/2026 0:00,9.388074331057478
26.44,26,4.25,0,25.0,5/12/2026 3:00,10.308609304469858
25.78,51,4.01,0,25.0,5/12/2026 6:00,8.05782898766775
34.02,32,3.67,0,25.0,5/12/2026 9:00,11.058197287668172
40.16,10,4.42,0,25.0,5/12/2026 12:00,15.655799047585415
41.14,6,4.83,0,25.0,5/12/2026 15:00,17.08793928562457
35.7,7,2.91,0,25.0,5/12/2026 18:00,12.363889810930207
31.42,9,0.76,0,25.0,5/12/2026 21:00,7.7613651944411375
31.5,9,2.09,0,24.75,5/13/2026 0:00,10.039194284281404
27.07,28,4.42,0,23.75,5/13/2026 3:00,10.219340536427714
26.09,52,4.39,0,24.25,5/13/2026 6:00,8.06531131787688
34.54,30,3.52,0,24.5,5/13/2026 9:00,11.06783053896123
40.05,11,2.45,0,19.5,5/13/2026 12:00,10.699544706193098
41.57,7,3.65,0,24.5,5/13/2026 15:00,14.816704807802102
36.38,9,2.98,0,24.75,5/13/2026 18:00,12.415220293766792
31.73,9,1.94,0,25.0,5/13/2026 21:00,9.888000255989061
30.42,10,5.36,0,23.5,5/14/2026 0:00,13.7338710085007
27.5,48,5.07,0,14.75,5/14/2026 3:00,7.4037199202311115
25.98,59,4.34,0,17.5,5/14/2026 6:00,6.304418926604532
34.31,35,6.04,0,19.5,5/14/2026 9:00,11.915859065433887
40.09,14,1.03,0,21.25,5/14/2026 12:00,8.043134492490585
41.2,9,2.52,0,24.0,5/14/2026 15:00,12.2311597413294
36.7,10,3.26,0,23.75,5/14/2026 18:00,12.651166202728083
32.17,12,1.14,0,24.0,5/14/2026 21:00,8.231408607006719
