date,temp,humidity,wind,radiation
20250101,20.58,41.38,1.13,18.7
20250102,19.5,41.96,0.99,20.56
20250103,20.15,40.07,0.85,21.55
20250104,21.44,38.03,0.92,21.05
20250105,19.74,35.61,1.25,20.84
20250106,19.73,36.88,1.18,19.34
20250107,20.46,38.03,1.2,18.84
20250108,19.98,36.51,1.36,20.48
20250109,18.83,36.67,1.42,21.61
20250110,18.26,38.43,1.37,21.48
20250111,17.51,37.42,1.41,20.98
20250112,17.17,39.14,1.2,20.56
20250113,18.81,38.34,1.0,21.4
20250114,20.77,37.52,0.87,21.17
20250115,21.75,39.14,0.89,21.38
20250116,22.5,34.53,0.99,21.78
20250117,22.73,32.3,1.12,21.94
20250118,23.23,33.26,1.16,21.36
20250119,24.36,35.41,0.97,20.97
20250120,24.6,35.65,0.73,20.85
20250121,24.15,37.59,1.18,22.26
20250122,22.78,33.17,1.5,22.89
20250123,21.73,33.64,1.25,20.41
20250124,22.33,32.6,1.37,20.27
20250125,21.28,27.93,1.34,23.16
20250126,20.42,28.68,1.22,23.58
20250127,20.4,27.91,1.39,23.14
20250128,20.17,28.71,1.55,22.14
20250129,19.78,27.69,1.42,22.66
20250130,19.66,30.11,1.44,19.7
20250131,21.04,29.2,1.24,22.96
20250201,21.41,29.99,0.98,20.36
20250202,21.53,29.68,0.97,21.69
20250203,22.0,29.22,1.12,22.78
20250204,22.1,26.15,1.26,24.5
20250205,20.72,24.75,1.19,23.7
20250206,21.47,24.91,1.19,19.11
20250207,22.24,28.36,1.08,17.72
20250208,23.94,28.52,1.21,20.48
20250209,23.88,28.8,1.26,22.69
20250210,24.4,27.23,1.32,23.16
20250211,23.53,24.93,1.53,22.79
20250212,22.21,26.44,1.62,22.08
20250213,20.5,26.27,1.37,21.94
20250214,20.62,25.9,1.22,22.96
20250215,22.52,21.05,1.28,23.86
20250216,22.85,20.6,1.24,24.6
20250217,23.38,21.97,1.21,24.1
20250218,23.8,22.28,1.11,23.95
20250219,24.89,20.83,0.98,24.13
20250220,25.83,22.95,0.93,24.57
20250221,27.14,25.6,0.65,23.7
20250222,28.38,24.81,0.95,22.52
20250223,26.29,26.86,0.74,18.28
20250224,25.78,26.49,0.91,17.87
20250225,26.18,28.95,0.96,18.79
20250226,25.49,28.77,1.18,18.0
20250227,25.81,24.55,1.55,19.93
20250228,25.78,24.33,1.37,23.24
20250301,26.83,25.59,1.29,22.33
20250302,28.04,27.49,1.44,22.49
20250303,28.54,27.45,1.34,24.64
20250304,28.37,28.28,1.21,24.63
20250305,27.71,19.71,1.37,25.69
20250306,26.97,18.81,1.42,23.73
20250307,27.61,19.06,1.46,24.7
20250308,27.63,21.94,1.34,24.52
20250309,28.21,23.77,1.23,23.09
20250310,29.9,24.35,1.43,24.65
20250311,30.86,21.05,1.67,23.98
20250312,29.77,21.79,1.22,22.8
20250313,29.89,20.49,1.31,25.13
20250314,30.2,20.31,1.37,22.9
20250315,30.41,18.27,1.73,24.88
20250316,28.72,15.03,1.6,26.46
20250317,27.93,14.6,1.5,27.1
20250318,26.71,11.64,1.4,27.85
20250319,26.44,11.87,0.93,27.74
20250320,27.91,15.05,1.17,25.81
20250321,29.68,15.6,1.84,24.28
20250322,29.3,19.09,1.74,21.98
20250323,26.87,15.94,1.66,22.53
20250324,25.87,15.0,1.28,22.42
20250325,27.53,18.06,1.19,26.07
20250326,28.75,20.55,0.97,26.57
20250327,29.98,17.87,0.72,22.54
20250328,31.1,15.11,0.88,25.55
20250329,29.31,17.63,1.03,26.36
20250330,31.28,15.15,0.75,26.01
20250331,30.51,18.99,1.01,26.3
20250401,29.27,21.11,0.86,22.82
20250402,28.79,18.63,1.0,20.61
20250403,28.63,13.99,1.62,21.5
20250404,28.19,11.03,1.24,26.8
20250405,28.44,11.86,0.89,24.81
20250406,29.16,13.91,0.95,25.47
20250407,30.72,16.06,1.05,25.32
20250408,31.74,21.61,0.87,23.58
20250409,31.21,27.41,0.85,21.31
20250410,31.49,24.13,1.32,19.7
20250411,30.97,20.55,1.75,17.08
20250412,29.71,17.77,1.61,24.61
20250413,28.4,15.64,1.32,24.83
20250414,29.01,14.99,1.24,25.31
20250415,29.42,17.32,1.11,26.43
20250416,31.05,20.32,1.1,25.4
20250417,31.99,20.65,1.03,22.65
20250418,31.29,14.15,1.6,27.16
20250419,29.93,10.94,1.32,27.32
20250420,30.62,13.27,0.91,27.8
20250421,30.44,16.22,1.14,27.68
20250422,31.2,15.9,1.25,26.79
20250423,32.16,21.3,0.9,26.58
20250424,32.06,18.92,1.15,27.28
20250425,31.84,15.49,1.38,23.17
20250426,31.73,16.53,1.43,18.44
20250427,31.44,18.05,1.39,21.05
20250428,32.91,30.39,0.92,24.66
20250429,33.93,28.15,0.78,21.31
20250430,33.34,32.52,0.93,22.46
20250501,32.42,36.58,1.33,21.03
20250502,31.93,28.41,1.33,17.68
20250503,30.71,15.47,1.51,19.88
20250504,30.05,19.33,1.08,20.07
20250505,30.38,17.65,1.15,22.64
20250506,30.87,16.49,1.38,26.04
20250507,31.18,19.33,1.18,26.49
20250508,31.1,18.72,1.22,26.67
20250509,31.05,14.16,1.24,27.98
20250510,31.1,14.12,1.09,27.37
20250511,31.9,15.29,1.07,27.23
20250512,32.75,15.4,1.12,27.17
20250513,32.99,15.58,1.19,26.82
20250514,33.39,33.25,0.93,24.68
20250515,34.29,37.18,1.21,14.97
20250516,31.98,41.78,1.17,20.04
20250517,30.57,45.02,1.36,13.8
20250518,32.77,37.33,1.01,20.63
20250519,32.81,31.38,1.09,23.61
20250520,33.85,25.42,0.91,17.06
20250521,33.24,33.82,1.08,24.15
20250522,33.54,25.6,1.09,24.51
20250523,33.11,20.3,1.15,24.91
20250524,32.6,20.03,0.89,21.79
20250525,32.97,37.01,1.31,21.89
20250526,34.03,27.94,1.14,22.67
20250527,32.91,32.2,1.06,22.95
20250528,33.03,40.74,1.05,24.77
20250529,33.24,42.31,1.25,20.55
20250530,32.77,41.67,1.08,24.61
20250531,33.43,40.25,0.94,24.44
20250601,34.09,39.47,1.1,20.6
20250602,30.77,51.63,1.37,23.24
20250603,27.5,63.46,1.01,13.0
20250604,29.81,51.47,0.75,20.98
20250605,31.53,37.7,1.21,25.14
20250606,31.67,27.09,0.85,24.98
20250607,32.16,33.4,0.9,25.26
20250608,32.64,40.81,1.17,24.61
20250609,33.05,38.18,0.83,24.32
20250610,33.07,43.3,0.83,25.03
20250611,32.08,40.6,0.97,22.93
20250612,32.4,42.35,0.97,24.84
20250613,31.83,47.28,1.2,21.34
20250614,31.98,46.47,1.09,20.21
20250615,29.67,58.66,1.23,24.34
20250616,31.37,50.84,0.99,22.79
20250617,32.24,46.19,1.02,23.64
20250618,31.56,46.23,0.87,16.13
20250619,32.11,45.67,0.94,24.21
20250620,32.35,40.29,0.96,24.63
20250621,32.56,38.05,1.0,22.01
20250622,32.33,41.9,0.76,25.08
20250623,32.61,40.74,0.86,19.26
20250624,32.61,39.24,0.87,24.58
20250625,32.85,38.19,0.68,24.59
20250626,32.41,37.02,0.81,21.56
20250627,32.68,42.49,0.78,23.24
20250628,32.81,42.19,0.87,23.48
20250629,30.7,55.61,1.17,20.82
20250630,28.44,63.24,0.72,12.71
20250701,27.97,61.04,0.65,17.25
20250702,29.36,53.62,0.45,22.96
20250703,30.08,51.1,0.58,22.23
20250704,28.8,58.24,0.66,11.24
20250705,28.08,62.33,0.63,16.42
20250706,28.57,58.99,0.52,19.17
20250707,28.97,57.65,0.43,13.17
20250708,30.77,47.34,0.53,18.25
20250709,30.52,50.09,0.87,23.21
20250710,30.39,51.18,0.83,21.12
20250711,29.29,57.27,0.83,20.09
20250712,28.21,59.59,0.72,19.68
20250713,26.09,69.79,0.27,11.37
20250714,28.43,59.64,0.34,23.63
20250715,30.4,49.7,0.69,22.14
20250716,30.55,51.01,0.62,12.13
20250717,28.53,59.1,0.76,15.76
20250718,28.21,62.06,0.56,23.19
20250719,30.02,53.5,0.4,19.64
20250720,30.67,51.33,0.37,21.25
20250721,30.36,53.71,0.42,24.54
20250722,29.28,58.56,0.49,23.11
20250723,28.22,65.2,0.43,16.08
